Symbol,Name,LastSale,MarketCap,IPOyear,Sector,industry,Summary Quote
DMO,Western Asset Mortgage Defined Opportunity Fund Inc,21.18,$221.33M,2010,n/a,n/a,https://www.nasdaq.com/symbol/dmo
MTT,Western Asset Municipal Defined Opportunity Trust Inc,19.8375,$241.56M,2009,n/a,n/a,https://www.nasdaq.com/symbol/mtt
MHF,"Western Asset Municipal High Income Fund, Inc.",7,$151.43M,1988,n/a,n/a,https://www.nasdaq.com/symbol/mhf
MNP,"Western Asset Municipal Partners Fund, Inc.",13.53,$131.5M,1993,n/a,n/a,https://www.nasdaq.com/symbol/mnp
GFY,Western Asset Variable Rate Strategic Fund Inc.,15.7,$73.29M,2004,n/a,n/a,https://www.nasdaq.com/symbol/gfy
WIW,Western Asset/Claymore U.S Treasury Inflation Prot Secs Fd 2,10.3,$630.2M,2004,n/a,n/a,https://www.nasdaq.com/symbol/wiw
WIA,Western Asset/Claymore U.S. Treasury Inflation Prot Secs Fd,10.71,$312.23M,2003,n/a,n/a,https://www.nasdaq.com/symbol/wia
WGP,"Western Gas Equity Partners, LP",28.29,$6.19B,2012,Public Utilities,Natural Gas Distribution,https://www.nasdaq.com/symbol/wgp
WES,"Western Gas Partners, LP",43.5,$7.25B,2008,Public Utilities,Natural Gas Distribution,https://www.nasdaq.com/symbol/wes
WU,Western Union Company (The),18.46,$8.17B,n/a,Miscellaneous,Business Services,https://www.nasdaq.com/symbol/wu
WAB,Westinghouse Air Brake Technologies Corporation,85.71,$8.28B,n/a,Capital Goods,Railroads,https://www.nasdaq.com/symbol/wab
WLK,Westlake Chemical Corporation,68.41,$8.84B,2004,Basic Industries,Major Chemicals,https://www.nasdaq.com/symbol/wlk
WLKP,Westlake Chemical Partners LP,22.73,$732.98M,2014,Basic Industries,Major Chemicals,https://www.nasdaq.com/symbol/wlkp
WBK,Westpac Banking Corporation,18.68,$64.05B,n/a,Finance,Commercial Banks,https://www.nasdaq.com/symbol/wbk
WRK,Westrock Company,45.32,$11.63B,2015,Consumer Durables,Containers/Packaging,https://www.nasdaq.com/symbol/wrk
WHG,Westwood Holdings Group Inc,40.04,$361.1M,n/a,Finance,Investment Managers,https://www.nasdaq.com/symbol/whg
WEX,WEX Inc.,151.39,$6.53B,n/a,Miscellaneous,Business Services,https://www.nasdaq.com/symbol/wex
WY,Weyerhaeuser Company,26.33,$19.73B,n/a,Consumer Services,Real Estate Investment Trusts,https://www.nasdaq.com/symbol/wy
WPM,Wheaton Precious Metals Corp.,15.85,$7.04B,n/a,Basic Industries,Precious Metals,https://www.nasdaq.com/symbol/wpm
WHR,Whirlpool Corporation,121.04,$7.72B,n/a,Consumer Durables,Consumer Electronics/Appliances,https://www.nasdaq.com/symbol/whr
WTM,"White Mountains Insurance Group, Ltd.",900,$2.86B,n/a,Finance,Property-Casualty Insurers,https://www.nasdaq.com/symbol/wtm
WSR,Whitestone REIT,13.95,$554.43M,2010,Consumer Services,Real Estate Investment Trusts,https://www.nasdaq.com/symbol/wsr
WLL,Whiting Petroleum Corporation,28.96,$2.64B,2003,Energy,Oil & Gas Production,https://www.nasdaq.com/symbol/wll
WOW,"WideOpenWest, Inc.",9.86,$815.37M,2017,Consumer Services,Television Services,https://www.nasdaq.com/symbol/wow
WRD,WildHorse Resource Development Corporation,19.56,$2B,2016,Energy,Oil & Gas Production,https://www.nasdaq.com/symbol/wrd
WMB,"Williams Companies, Inc. (The)",24.54,$29.71B,n/a,Public Utilities,Natural Gas Distribution,https://www.nasdaq.com/symbol/wmb
WSM,"Williams-Sonoma, Inc.",53.48,$4.29B,n/a,Consumer Services,Home Furnishings,https://www.nasdaq.com/symbol/wsm
WGO,"Winnebago Industries, Inc.",25.73,$820.46M,n/a,Consumer Non-Durables,Homebuilding,https://www.nasdaq.com/symbol/wgo
